"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","EDU_LFS_STATUS","Education and labour force status","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",71.221703,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",73.192268,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",69.560333,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",45.879387,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",49.844589,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",42.371468,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.998734,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",28.079416,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",28.222849,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",27.885714,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.92800266,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.220013,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED","In education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.4295653,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",25.546833,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",26.757748,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",24.525917,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",29.339464,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",32.419704,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",26.614449,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",19.157213,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.99859,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",19.371429,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.81267214,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.0633541,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.2598759,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",3.8106852,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.3995335,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",5.8435173,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",4.3991513,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",2.2605255,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",6.2911425,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.66450566,,
