"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.984,,
"AUS","Australia","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.698,,
"AUS","Australia","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.826,,
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.834,,
"AUS","Australia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.236,,
"AUS","Australia","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.706,,
"AUS","Australia","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.116,,
"AUS","Australia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.822,,
"AUS","Australia","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.202,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.07,,
"AUS","Australia","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",14.401,,
"AUT","Austria","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.092,,
"AUT","Austria","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.697,,
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.286,,
